id,original_title,director,revenue,type
17.0,The Dark,John Fawcett,0.0,min revenue
21.0,The Endless Summer,Bruce Brown,0.0,min revenue
26.0,LaLehet Al HaMayim,Eytan Fox,0.0,min revenue
68.0,Brazil,Terry Gilliam,0.0,min revenue
108.0,Trois couleurs : Bleu,Krzysztof KieÅ›lowski,0.0,min revenue
132.0,Gimme Shelter,Albert Maysles|Charlotte Zwerin|David Maysles,0.0,min revenue
135.0,Dont Look Back,D.A. Pennebaker,0.0,min revenue
148.0,The Secret Life of Words,Isabel Coixet,0.0,min revenue
233.0,The Wanderers,Philip Kaufman,0.0,min revenue
249.0,The War of the Roses,Danny DeVito,0.0,min revenue
262.0,The King of Comedy,Martin Scorsese,0.0,min revenue
286.0,Deutschland. Ein SommermÃ¤rchen,SÃ¶nke Wortmann,0.0,min revenue
299.0,Ocean's Eleven,Lewis Milestone,0.0,min revenue
311.0,Once Upon a Time in America,Sergio Leone,0.0,min revenue
315.0,"Faster, Pussycat! Kill! Kill!",Russ Meyer,0.0,min revenue
318.0,The Million Dollar Hotel,Wim Wenders,0.0,min revenue
332.0,Inspector Gadget,David Kellogg,0.0,min revenue
336.0,GiÃ¹ la testa,Sergio Leone,0.0,min revenue
343.0,Harold and Maude,Hal Ashby,0.0,min revenue
383.0,Mala Noche,Gus Van Sant,0.0,min revenue
397.0,French Kiss,Lawrence Kasdan,0.0,min revenue
404.0,The Straight Story,David Lynch,0.0,min revenue
437.0,Cube 2: Hypercube,Andrzej Sekula,0.0,min revenue
438.0,Cube Zero,Ernie Barbarash,0.0,min revenue
466.0,Klute,Alan J. Pakula,0.0,min revenue
467.0,The Hole,Nick Hamm,0.0,min revenue
468.0,My Own Private Idaho,Gus Van Sant,0.0,min revenue
469.0,Stranger Than Paradise,Jim Jarmusch,0.0,min revenue
501.0,Grizzly Man,Werner Herzog,0.0,min revenue
502.0,Fail-Safe,Sidney Lumet,0.0,min revenue
530.0,A Grand Day Out,Nick Park,0.0,min revenue
531.0,The Wrong Trousers,Nick Park,0.0,min revenue
532.0,A Close Shave,Nick Park,0.0,min revenue
540.0,D.E.B.S.,Angela Robinson,0.0,min revenue
624.0,Easy Rider,Dennis Hopper,0.0,min revenue
649.0,Belle de jour,Luis BuÃ±uel,0.0,min revenue
742.0,Tillsammans,Lukas Moodysson,0.0,min revenue
750.0,Murder She Said,George Pollock,0.0,min revenue
751.0,Murder at the Gallop,George Pollock,0.0,min revenue
753.0,Faces,John Cassavetes,0.0,min revenue
758.0,Murder Ahoy,George Pollock,0.0,min revenue
766.0,Army of Darkness,Sam Raimi,0.0,min revenue
802.0,Lolita,Stanley Kubrick,0.0,min revenue
811.0,Silent Running,Douglas Trumbull,0.0,min revenue
815.0,Animal Farm,John Stephenson,0.0,min revenue
839.0,Duel,Steven Spielberg,0.0,min revenue
849.0,Krull,Peter Yates,0.0,min revenue
874.0,A Man for All Seasons,Fred Zinnemann,0.0,min revenue
876.0,Frank Herbert's Dune,John Harrison,0.0,min revenue
884.0,Crash,David Cronenberg,0.0,min revenue
886.0,The Cincinnati Kid,Norman Jewison,0.0,min revenue
912.0,The Thomas Crown Affair,Norman Jewison,0.0,min revenue
919.0,Blood: The Last Vampire,Hiroyuki Kitakubo,0.0,min revenue
922.0,Dead Man,Jim Jarmusch,0.0,min revenue
931.0,Don't Look Now,Nicolas Roeg,0.0,min revenue
982.0,The Manchurian Candidate,John Frankenheimer,0.0,min revenue
983.0,The Man Who Would Be King,John Huston,0.0,min revenue
